# Reuters category"corporate aquisitions" (training examples: 1000 positive/ 1000 negative) 
1 2:2.3 3:0.24
1 2:0.2 3:0.17
1 2:1.62 3:0.04
1 2:4.9 3:0.10
1 2:3.77 3:0.097
1 2:2.68 3:0.21
1 2:0.7 3:0.126
1 2:1.43 3:0.016
1 2:4.14 3:0.19
1 2:3.50 3:0.077
1 2:2.7 3:0.045
1 2:1.48 3:0.12
1 2:3.98 3:0.04
1 2:0.34 3:0.23
1 2:4.72 3:0.09
1 2:1.56 3:0.17
1 2:1.02 3:0.187
1 2:3.98 3:0.122
1 2:0.44 3:0.214
1 2:4.78 3:0.04
1 2:3.22 3:0.176
1 2:0.97 3:0.146
1 2:2.27 3:0.172
1 2:2.98 3:0.243
1 2:1.58 3:0.111
1 2:3.89 3:0.178
1 2:4.31 3:0.196
1 2:4.84 3:0.20
1 2:2.55 3:0.215
1 2:4.33 3:0.27
1 2:1.09 3:0.08
1 2:1.98 3:0.03
1 2:2.77 3:0.162
1 2:3.88 3:0.199
1 2:4.32 3:0.17
1 2:2.79 3:0.22
1 2:2.22 3:0.105
1 2:1.04 3:0.154
1 2:1.66 3:0.129
1 2:0.44 3:0.08
1 2:3.67 3:0.11
1 2:1.90 3:0.178
1 2:0.66 3:0.05
1 2:2.34 3:0.188
1 2:4.78 3:0.245
1 2:3.53 3:0.177
1 2:0.76 3:0.09
1 2:0.28 3:0.11
1 2:1.88 3:0.164
1 2:3.43 3:2.23
-1 2:5.8 3:0.27
-1 2:7.2 3:0.4
-1 2:6.1 3:0.37
-1 2:9.7 3:0.44
-1 2:8.01 3:0.317
-1 2:5.1 3:0.34
-1 2:7.5 3:0.48
-1 2:6.98 3:0.319
-1 2:9.24 3:0.408
-1 2:8.53 3:0.327
-1 2:6.88 3:0.49
-1 2:8.29 3:0.28
-1 2:5.55 3:0.487
-1 2:9.67 3:0.342
-1 2:6.21 3:0.298
-1 2:7.90 3:0.423
-1 2:5.24 3:0.325
-1 2:6.02 3:0.378
-1 2:9.70 3:0.490
-1 2:7.82 3:0.309
